1|Golden Gate Bridge|1|1|False
2|Coit Tower|1|2|False
3|Bay Bridge Lights|1|3|False
4|Ocean Drive|2|1|False
5|Lincoln Road|2|2|False
6|Collins Avenue|2|3|False
7|Bright Angel Trail|3|1|False
8|South Rim|3|2|False
9|Colorado River|3|3|False
10|Robert Mondavi Winery|4|1|False
11|Beringer Vineyards|4|2|False
12|Castello di Amorosa|4|3|False
13|Franklin Barbecue|5|1|False
14|La Barbecue|5|2|False
15|Terry Black's Barbecue|5|3|False
16|Greenwich Village|6|1|False
17|Chinatown|6|2|False
18|Little Italy|6|3|False
19|Avenue Montaigne|7|1|False
20|Rue du Faubourg Saint-Honor|7|2|False
21|Galeries Lafayette|7|3|False
22|Tsukiji Market|8|1|False
23|Sushi Dai|8|2|False
24|Sushi Saito|8|3|False
